"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX"
"0","0.14351622760295868","0.14351622760295868","0.14351622760295868","","","","0.19071659445762634","0.16647905111312866","0.2192307710647583","0.13766055926680565","0.11827956885099411","0.1570415496826172","0.13173430413007736","0.12125983834266663","0.1422087699174881","0.1880904346704483","0.16649988293647766","0.21352313458919525"
"1","0.7495597958564758","0.7216588258743286","0.7774588465690613","0.8465698510408401","0.7955694198608398","0.8820837736129761","0.7252154588699341","0.6698600053787231","0.8078935742378235","0.6882846593856812","0.6238250136375427","0.7341073751449585","0.7964064598083496","0.7253913283348083","0.8552891612052917","0.698191511631012","0.6497761607170105","0.7258843779563904"
"2","0.7638775825500488","0.7529276013374329","0.7874547243118286","0.8655094504356384","0.8482586741447449","0.8753525614738464","0.7190037727355957","0.6960638761520386","0.7707427740097046","0.7206502318382263","0.6841235756874084","0.7542315125465393","0.8312921524047852","0.7802198529243469","0.8521335124969482","0.7170460224151611","0.6793866157531738","0.751502275466919"
"3","0.7974370002746582","0.7788285613059998","0.8235001564025879","0.8718272596597672","0.8077878952026367","0.9029567837715149","0.7569024801254273","0.7432024478912354","0.7846747636795044","0.7762107014656067","0.755862832069397","0.7965301871299744","0.8166862964630127","0.7710280418395996","0.8542959094047546","0.7283389091491699","0.5702029466629028","0.7785115838050842"
"4","0.8224985599517822","0.8021832704544067","0.8378896713256836","0.8878180235624313","0.8280373811721802","0.9140201210975647","0.7717012763023376","0.7462959885597229","0.8082760572433472","0.7220569252967834","0.6764470338821411","0.7582873106002808","0.8426937818527221","0.7757498621940613","0.8793397545814514","0.7638466119766235","0.7356860041618347","0.8009267449378967"
"5","0.8910816192626954","0.8799865245819092","0.901443600654602","0.902907058596611","0.8747640252113342","0.9288467168807983","0.7819867134094238","0.7427592277526855","0.8220309019088745","0.7610748291015625","0.7312862873077393","0.787909209728241","0.8480230569839478","0.8270961046218872","0.8790855407714844","0.7140422105789185","0.6847475171089172","0.7437574863433838"
"6","0.8915005326271057","0.8817823529243469","0.9038493633270264","0.9228585809469223","0.9147869348526001","0.9296086430549622","0.8098037362098693","0.7835744023323059","0.8248245120048523","0.7553599238395691","0.7018983364105225","0.8081612586975098","0.8618682503700257","0.8122192025184631","0.8844821453094482","0.7563672661781311","0.7291769981384277","0.7863349914550781"
"7","0.8975202441215515","0.8871379494667053","0.9100774526596069","0.9318102151155472","0.9275361895561218","0.9415712952613831","0.8329838633537292","0.8173941969871521","0.8481976985931396","0.7697211980819703","0.7360208034515381","0.7894026637077332","0.862430465221405","0.8458380103111267","0.8897529244422913","0.7182605504989624","0.5571191906929016","0.7689441442489624"
"8","0.8894097924232482","0.875","0.9036515355110168","0.9199836105108261","0.9102656245231628","0.9275233745574951","0.8000440001487732","0.7537147998809814","0.83235102891922","0.763093626499176","0.7414211630821228","0.7999678254127502","0.8753808856010437","0.8312625885009766","0.8964009284973145","0.7783272981643676","0.7472175359725952","0.801494836807251"
"9","0.8945442914962769","0.8844377994537354","0.9003415703773499","0.9317750781774521","0.9288011193275452","0.9337500333786011","0.8066720366477966","0.727679967880249","0.8381455540657043","0.7970619082450867","0.7747975587844849","0.8115243911743164","0.88238685131073","0.8676470518112183","0.901336669921875","0.7605532526969909","0.6787847876548767","0.8085742592811584"
