"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX"
"0","0.7588146924972534","0.7588146924972534","0.7588146924972534","","","","0.5586646661162377","0.03250812739133835","0.9996249079704285","0.06751687917858362","0.011627906933426857","0.12340585142374039","0.08102025464177132","0.07939484715461731","0.08264566212892532","0.5594898708164692","0.035133782774209976","0.9994998574256897"
"1","0.6898974776268005","0.6534133553504944","0.7095524072647095","0.30095023289322853","0.22905726730823517","0.35521379113197327","0.6568642139434815","0.5733933448791504","0.7143035531044006","0.6629407405853271","0.6279069781303406","0.6916729211807251","0.4827957034111023","0.43748438358306885","0.5973993539810181","0.6878469705581665","0.6467866897583008","0.7361840605735779"
"2","0.7668917179107666","0.7580645084381104","0.787696897983551","0.454551137983799","0.443360835313797","0.4621155261993408","0.6962740540504455","0.6615403890609741","0.7239309549331665","0.7080770134925842","0.629907488822937","0.756814181804657","0.6077269315719604","0.5120030045509338","0.6800450086593628","0.7046011328697205","0.6891722679138184","0.7140535116195679"
"3","0.7736934304237366","0.753563404083252","0.8020755052566528","0.4789322391152382","0.4527381956577301","0.5067517161369324","0.7089272379875183","0.6736684441566467","0.7518129348754883","0.7245811462402344","0.7090522646903992","0.7426856756210327","0.6694673776626587","0.6421605348587036","0.7160540223121643","0.7454363584518433","0.7228056788444519","0.7761940360069275"
"4","0.7810452699661254","0.7559390068054199","0.8030757904052734","0.47077395021915436","0.40135034918785095","0.5158789753913879","0.6981495261192322","0.6540384888648987","0.7379344701766968","0.7438359737396241","0.724181056022644","0.7798199653625488","0.6878719568252564","0.6590397357940674","0.7280570268630981","0.7196549057960511","0.682295560836792","0.7894473671913147"
"5","0.7131282806396484","0.6862965822219849","0.7428107261657715","0.4473618417978287","0.3973493278026581","0.505501389503479","0.7130282521247864","0.6652913093566895","0.7461865544319153","0.7295573830604554","0.7049262523651123","0.7533133029937744","0.6970242619514465","0.6617904305458069","0.7361840605735779","0.7448612093925476","0.7214303612709045","0.7834458351135254"
"6","0.782070517539978","0.756814181804657","0.8018254637718201","0.48977869004011154","0.45923981070518494","0.508001983165741","0.7382595777511597","0.701300323009491","0.7836959362030029","0.767816960811615","0.7498124241828918","0.7871968150138855","0.7356589198112488","0.695798933506012","0.7666916847229004","0.7634908795356751","0.7338084578514099","0.7821955680847168"
"7","0.8096524119377136","0.7763190865516663","0.8330832719802856","0.5076269060373306","0.5028757452964783","0.5176293849945068","0.7346836805343628","0.7006751894950867","0.7648162245750427","0.7608902215957641","0.740935206413269","0.7888222336769104","0.7305076122283936","0.6699174642562866","0.7663165926933289","0.7422855854034424","0.7045511603355408","0.7694423794746399"
"8","0.8466116547584533","0.8258314728736877","0.8538384437561035","0.5365403890609741","0.5225056409835815","0.5623906254768372","0.7512377977371216","0.7320579886436462","0.7711927890777588","0.747636902332306","0.6865466237068176","0.8110777735710144","0.7422605633735657","0.7270567417144775","0.7660664916038513","0.7388597130775452","0.7193048000335693","0.7551888227462769"
"9","0.8447862029075622","0.8395848870277405","0.8529632687568665","0.5473868474364281","0.47111776471138","0.6001500487327576","0.7597399473190307","0.7485621571540833","0.7814453840255737","0.7498374581336975","0.7311828136444092","0.764691174030304","0.7859714984893799","0.7708176970481873","0.8060765266418457","0.7563390851020813","0.7325581312179565","0.7700675129890442"
