"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"0","","","","","","","0.5730691254138947","0.36301368474960327","0.783124566078186","0.7381470501422882","0.692307710647583","0.7839863896369934","0.627138864994049","0.5768072009086609","0.6904599070549011"
"1","0.20134639441967012","0.1513383686542511","0.28513479232788086","0.198152594268322","0.15255354344844818","0.25015753507614136","0.29143701791763305","0.22683656215667725","0.3642536699771881","0.5307098388671875","0.5022451281547546","0.5959551930427551","0.5440225481987","0.5297876000404358","0.5625579357147217"
"2","0.12308826297521591","0.09648273885250092","0.17913956940174103","0.21592484042048454","0.17775793373584747","0.24906599521636963","0.292863255739212","0.22142857313156128","0.40105149149894714","0.548056674003601","0.4986528158187866","0.5920020937919617","0.5542242765426636","0.5323159098625183","0.58292555809021"
"3","0.11483540087938308","0.0963895320892334","0.12969765067100525","0.19957192614674568","0.0968925878405571","0.38386932015419006","0.26403036415576936","0.23414039611816406","0.32800814509391785","0.5595489621162415","0.5046783089637756","0.5884082913398743","0.53854398727417","0.5249794721603394","0.5508041381835938"
"4","0.12882321178913117","0.0702553242444992","0.25745919346809387","0.12735055480152369","0.05972323194146156","0.26172953844070435","0.25852165520191195","0.16624833643436432","0.2928210198879242","0.5772419810295105","0.5537276864051819","0.6058771014213562","0.5351020336151123","0.5243018865585327","0.5432565808296204"
"5","0.0672316573560238","0.05575539544224739","0.08872227370738983","0.21899765357375145","0.18329298496246338","0.2792016267776489","0.2995880603790283","0.26598334312438965","0.3340722620487213","0.5701780080795288","0.5478090643882751","0.5871334075927734","0.5406439781188965","0.5150530338287354","0.5659043192863464"
"6","0.06495656073093414","0.03635162115097046","0.0995282307267189","0.20166553556919098","0.1314978003501892","0.24111570417881012","0.32254294157028196","0.2761229872703552","0.43913164734840393","0.5798896789550781","0.5734652876853943","0.5934988856315613","0.5408338308334351","0.5278052687644958","0.5573167204856873"
"7","0.0532452367246151","0.03747473284602165","0.07442258298397064","0.16647933050990105","0.13221721351146698","0.21121788024902344","0.2391429513692856","0.1841517835855484","0.2803209125995636","0.5900530338287353","0.5767955780029297","0.5985013246536255","0.5258983850479126","0.503786563873291","0.5602715015411377"
"8","0.06584339514374733","0.03413684666156769","0.09094639122486115","0.2014993093907833","0.15567071735858917","0.23150521516799927","0.2716691792011261","0.15176747739315033","0.3750964403152466","0.5859265923500061","0.5724223852157593","0.6033757925033569","0.5166475296020507","0.49887019395828247","0.5430629253387451"
"9","0.05588000789284706","0.03780335932970047","0.0797916129231453","0.20143810659646988","0.13494157791137695","0.24133124947547913","0.21750006675720215","0.1946498155593872","0.23051577806472778","0.5775394082069397","0.5597596168518066","0.595374584197998","0.5469884991645813","0.5046247839927673","0.6096342206001282"
