"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX"
"0","0.6490081548690796","0.6490081548690796","0.6490081548690796","","","","0.6287408709526062","0.5853269696235657","0.689212441444397","0.5730691254138947","0.36301368474960327","0.783124566078186","0.811868409315745","0.6517386436462402","1","0.627138864994049","0.5768072009086609","0.6904599070549011"
"1","0.4857731819152832","0.4561348855495453","0.5162802338600159","0.20339684188365936","0.15473061800003052","0.25188443064689636","0.5190849483013154","0.47540608048439026","0.5342029929161072","0.5125808656215668","0.4252689480781555","0.5846534967422485","0.5310170173645019","0.5022451281547546","0.5961308479309082","0.5440225481987","0.5297876000404358","0.5625579357147217"
"2","0.523938798904419","0.4920174181461334","0.5734786987304688","0.21592484042048454","0.17775793373584747","0.24906599521636963","0.5128257274627686","0.46262606978416443","0.549595296382904","0.5143587112426757","0.48617151379585266","0.5443390607833862","0.5480870127677917","0.49860483407974243","0.5920372009277344","0.5542242765426636","0.5323159098625183","0.58292555809021"
"3","0.5053086221218109","0.4671023488044739","0.5675849914550781","0.19957192614674568","0.0968925878405571","0.38386932015419006","0.5114030063152313","0.49003082513809204","0.5283921360969543","0.46987499594688414","0.45756596326828003","0.48711222410202026","0.561900794506073","0.505773663520813","0.5906257033348083","0.53854398727417","0.5249794721603394","0.5508041381835938"
"4","0.4935182869434357","0.4713761508464813","0.5316010117530823","0.12735055480152369","0.05972323194146156","0.26172953844070435","0.48520891070365907","0.4646415710449219","0.5044500231742859","0.5061958491802215","0.438650906085968","0.550475001335144","0.5785151481628418","0.5582383871078491","0.6061715483665466","0.5351020336151123","0.5243018865585327","0.5432565808296204"
"5","0.41090489029884336","0.3074549436569214","0.5611959099769592","0.21899765357375145","0.18329298496246338","0.2792016267776489","0.4974713087081909","0.45754313468933105","0.5461941957473755","0.4644300043582916","0.4224008023738861","0.5096443295478821","0.5723423004150391","0.553232729434967","0.5888612866401672","0.5406439781188965","0.5150530338287354","0.5659043192863464"
"6","0.3710279643535614","0.32833999395370483","0.4236163794994354","0.20166553556919098","0.1314978003501892","0.24111570417881012","0.5149372637271881","0.4876573383808136","0.540488600730896","0.4501014411449432","0.42362698912620544","0.5013304352760315","0.5816371083259583","0.5766862034797668","0.5934988856315613","0.5408338308334351","0.5278052687644958","0.5573167204856873"
"7","0.35664854645729066","0.32734447717666626","0.3898351788520813","0.1668521948158741","0.13221721351146698","0.21137255430221558","0.49475430846214297","0.4667935371398926","0.5275138020515442","0.4405617415904999","0.38461539149284363","0.4972623884677887","0.591880202293396","0.5801479816436768","0.5993419289588928","0.5258983850479126","0.503786563873291","0.5602715015411377"
"8","0.397763991355896","0.3568194806575775","0.42688044905662537","0.20268309861421585","0.15567071735858917","0.23594360053539276","0.5190505027770996","0.5055450797080994","0.5292848348617554","0.44407846331596373","0.37301987409591675","0.48166200518608093","0.5869545698165893","0.574819803237915","0.6038640737533569","0.5166475296020507","0.49887019395828247","0.5430629253387451"
"9","0.3770255148410797","0.30194365978240967","0.46621620655059814","0.20470331236720085","0.1474739909172058","0.24185965955257416","0.5372049331665039","0.5204645395278931","0.5592694282531738","0.4114737272262573","0.3756997585296631","0.45861732959747314","0.5827677249908447","0.5682981610298157","0.5962477326393127","0.5469884991645813","0.5046247839927673","0.6096342206001282"
"10","0.3910356521606445","0.29658737778663635","0.46152639389038086","0.19420457817614079","0.08888451009988785","0.26550355553627014","0.5379311680793762","0.5214182734489441","0.5490429997444153","0.40469971895217893","0.3563644289970398","0.4753255546092987","0.5803290963172912","0.552854061126709","0.5987500548362732","0.5239460706710816","0.4989306330680847","0.5533507466316223"
"11","0.3764761447906494","0.29433050751686096","0.44999590516090393","0.14367328211665154","0.08693934231996536","0.2401258796453476","0.5419386625289917","0.5288254022598267","0.5564128160476685","0.5745313346385956","0.48932385444641113","0.6525166630744934","0.5780749320983887","0.5638462901115417","0.5914006233215332","0.5314291954040528","0.5089659690856934","0.577833354473114"
"12","0.36233956813812257","0.30135905742645264","0.39516332745552063","0.11451236717402935","0.07930967956781387","0.1506943255662918","0.5362052679061889","0.5137995481491089","0.5585883259773254","0.5787532448768615","0.5328697562217712","0.6293286681175232","0.580412232875824","0.5680642127990723","0.5947319865226746","0.5167287349700928","0.5001592636108398","0.5403477549552917"
"13","0.3455223262310028","0.2999500334262848","0.3675695061683655","0.11394382826983929","0.0707748606801033","0.15549364686012268","0.549237847328186","0.5370297431945801","0.5663062334060669","0.6470247507095337","0.594290018081665","0.6728243827819824","0.5804303288459778","0.5704746246337891","0.5912138819694519","0.5405022978782654","0.5173144936561584","0.5536780953407288"
"14","0.3441031455993652","0.30378758907318115","0.3714725375175476","0.110785405151546","0.043257515877485275","0.21803689002990723","0.5521364688873291","0.5244776606559753","0.5658998489379883","0.6498415350914002","0.5712074041366577","0.7524284720420837","0.5731553673744202","0.5646154880523682","0.5826675891876221","0.5215681076049805","0.5036803483963013","0.5432674884796143"
"15","0.38096299171447756","0.3226926922798157","0.4484212100505829","0.09493871033191681","0.0759701207280159","0.12028753757476807","0.5536843299865722","0.534014880657196","0.5649999976158142","0.681979751586914","0.6426886916160583","0.7251051664352417","0.5765853881835937","0.5648455023765564","0.5831953287124634","0.5203857600688935","0.49346598982810974","0.5413544178009033"
"16","0.3588111162185669","0.34066322445869446","0.3961102068424225","0.09669144731014967","0.05439915880560875","0.15560795366764069","0.5646041393280029","0.5335401892662048","0.5817604064941406","0.699707853794098","0.6565262079238892","0.759240448474884","0.5773524522781373","0.5681583881378174","0.5858871936798096","0.524843716621399","0.4965101480484009","0.5384104251861572"
"17","0.37002078294754026","0.3274255394935608","0.39824604988098145","0.10848117154091597","0.038842808455228806","0.18531855940818787","0.5618892073631286","0.5465542078018188","0.5862069129943848","0.6701799631118774","0.6358120441436768","0.7021608352661133","0.5759902954101562","0.5607024431228638","0.5863749980926514","0.5396829962730407","0.5295538902282715","0.5457277894020081"
"18","0.3504375874996185","0.27880820631980896","0.4117276072502136","0.09961782488971949","0.060024429112672806","0.2060202658176422","0.5671897649765014","0.5459094047546387","0.5774869918823242","0.6776355266571045","0.5752032399177551","0.731501042842865","0.5741243600845337","0.568209171295166","0.5794073939323425","0.5237779319286346","0.4911251962184906","0.5441721677780151"
"19","0.38754799365997317","0.33187538385391235","0.42649754881858826","0.08164984174072742","0.03599488362669945","0.14774282276630402","0.5659325361251831","0.5595370531082153","0.5739376544952393","0.6796353340148926","0.61832594871521","0.7625463604927063","0.5748482704162597","0.5616104602813721","0.5842932462692261","0.5301549136638641","0.49930092692375183","0.5536175966262817"
"20","0.37986663579940794","0.3536616861820221","0.4220546782016754","0.06850699242204428","0.04075583443045616","0.1215013787150383","0.5688572287559509","0.5503116846084595","0.5837215185165405","0.6715157628059387","0.5894100666046143","0.7391541600227356","0.5786150097846985","0.5645351409912109","0.5849125385284424","0.5115329384803772","0.49500948190689087","0.5316418409347534"
"21","0.394532185792923","0.32954952120780945","0.4477057456970215","0.0729113519191742","0.043902438133955","0.12828035652637482","0.5710715770721435","0.5514806509017944","0.5882978439331055","0.7084832429885864","0.6002737879753113","0.8143712282180786","0.5731910228729248","0.5615991950035095","0.5869840383529663","0.26495825350284574","0.1641159951686859","0.3409614562988281"
"22","0.36447587609291077","0.33362576365470886","0.41031599044799805","0.0821313327178359","0.05262270197272301","0.10347641259431839","0.5718273639678955","0.5519260168075562","0.5924310088157654","0.7363729596138","0.6753379106521606","0.8063558340072632","0.5805990934371948","0.5727261304855347","0.5935995578765869","0.2987887352705002","0.19957686960697174","0.3587074875831604"
"23","0.36338242292404177","0.3363740146160126","0.40650784969329834","0.07783254608511925","0.05120772868394852","0.128780797123909","0.5680321216583252","0.5489054918289185","0.5745409727096558","0.6852756142616272","0.6552811861038208","0.713567852973938","0.5732733607292175","0.5539962649345398","0.5864346027374268","0.32269599437713625","0.287312388420105","0.34955698251724243"
"24","0.37632590532302856","0.34305301308631897","0.4173528552055359","0.05524406163021922","0.028882740065455437","0.08228980004787445","0.5714211344718934","0.5615676641464233","0.5774776339530945","0.7145750999450684","0.6617100238800049","0.7584459185600281","0.5784064292907715","0.5605663061141968","0.5902371406555176","0.3239120751619339","0.23583100736141205","0.39268213510513306"
"25","0.36823639273643494","0.34599554538726807","0.4212377071380615","0.05773582775145769","0.03595113381743431","0.08004964143037796","0.5756682395935059","0.5674518346786499","0.5875776410102844","0.7145738124847412","0.6980534195899963","0.7329242825508118","0.5781489610671997","0.5589444041252136","0.5911548137664795","0.34576637744903566","0.30799323320388794","0.4286922514438629"
"26","0.3935717880725861","0.37045302987098694","0.4347243905067444","0.05514855869114399","0.03519313409924507","0.08578052371740341","0.5716445565223693","0.5621343851089478","0.5755024552345276","0.6986047625541687","0.6326614022254944","0.7711454033851624","0.580792498588562","0.5656406283378601","0.5940113663673401","0.34766008853912356","0.2943798899650574","0.3783078193664551"
"27","0.3916199266910553","0.36993077397346497","0.4109230637550354","0.0640177046880126","0.047262441366910934","0.0796850398182869","0.5766355514526367","0.5648441910743713","0.5920277237892151","0.71060631275177","0.6632770299911499","0.7728434801101685","0.577736234664917","0.5668045878410339","0.588532567024231","0.3345355033874512","0.30090805888175964","0.358536034822464"
"28","0.3924904942512512","0.35207074880599976","0.4316349923610687","0.06049272511154413","0.043134670704603195","0.08546603471040726","0.5733894467353821","0.5488396286964417","0.5920886993408203","0.7361608028411866","0.6676928400993347","0.8011453747749329","0.5752736568450928","0.568413496017456","0.5824754238128662","0.3542197048664093","0.3184965252876282","0.40102827548980713"
"29","0.3865810573101044","0.36362123489379883","0.40125951170921326","0.05873664701357484","0.030338196083903313","0.0833461731672287","0.5749387383460999","0.5630674958229065","0.5858175754547119","0.7396881818771363","0.6662798523902893","0.809819757938385","0.5755118608474732","0.5661808848381042","0.5875330567359924","0.34201095104217527","0.2919978201389313","0.4185306429862976"
"30","0.4046535074710846","0.38641104102134705","0.4403289258480072","0.06685115862637758","0.05041878670454025","0.09176506102085114","0.5695310711860657","0.5583941340446472","0.5801233053207397","0.7464969038963318","0.7301754951477051","0.7993963360786438","0.5727040529251098","0.5579068660736084","0.5820099711418152","0.3488796591758728","0.29613301157951355","0.38920193910598755"
"31","0.39145190715789796","0.3737035393714905","0.4088635742664337","0.046951528172940016","0.02729528583586216","0.06575470417737961","0.5803828001022339","0.5663374662399292","0.5893228650093079","0.7475061416625977","0.703618049621582","0.7891566157341003","0.582417905330658","0.574808657169342","0.5937930345535278","0.37230430245399476","0.3219653069972992","0.4094955623149872"
"32","0.40373029708862307","0.3528013527393341","0.43712353706359863","0.08249636646360159","0.03230966255068779","0.10620340704917908","0.5812437891960144","0.5680241584777832","0.5956456065177917","0.7243060231208801","0.682549774646759","0.7560822367668152","0.5737762808799743","0.5696519017219543","0.5791237950325012","0.3732687771320343","0.3334082365036011","0.4133436381816864"
"33","0.4151874244213104","0.36133334040641785","0.45304930210113525","0.051369454711675644","0.03684716299176216","0.08606557548046112","0.5764291405677795","0.5707999467849731","0.58356773853302","0.7490935564041138","0.7073922157287598","0.8011664748191833","0.5739295721054077","0.564703106880188","0.5774363279342651","0.4075404167175293","0.359830766916275","0.4473707675933838"
"34","0.3645946681499481","0.3405578136444092","0.38779574632644653","0.06723342556506395","0.0353567972779274","0.11694987863302231","0.5791396260261535","0.5579867362976074","0.5935172438621521","0.7350749254226685","0.6998324990272522","0.7695610523223877","0.5754301309585571","0.5673088431358337","0.588912844657898","0.3745650827884674","0.3090929687023163","0.44690340757369995"
"35","0.3657770276069641","0.33644208312034607","0.4071814715862274","0.07914034742861986","0.0505889467895031","0.13237640261650085","0.5791366457939148","0.5746872425079346","0.5843687057495117","0.715604841709137","0.6848839521408081","0.7904922366142273","0.5772479891777038","0.5698503851890564","0.5859058499336243","0.37681725025177004","0.314975380897522","0.481742262840271"
"36","0.40668646097183225","0.369738906621933","0.46266379952430725","0.05177553556859493","0.034945398569107056","0.07270274311304092","0.580736517906189","0.5769645571708679","0.5850735902786255","0.7153930068016052","0.6554526686668396","0.7588838338851929","0.5740868210792541","0.570320188999176","0.5781919956207275","0.37454811930656434","0.34167924523353577","0.4101558327674866"
