"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"0","","","","","","","0.024456847086548807","0.00917431153357029","0.04759766533970833","0.09375","0.09375","0.09375","0.02648824155330658","0.01428571529686451","0.05026930198073387","0","0","0"
"1","0.7701434969902039","0.6352765560150146","0.8266475796699524","","","","0.7596420645713806","0.7392767071723938","0.775201141834259","0.7811223149299622","0.7393791079521179","0.8097825646400452","0.7703231453895569","0.7205290794372559","0.8111959099769592","0.816911518573761","0.75","0.8608521819114685"
"2","0.6791357040405274","0.6287021040916443","0.7084991931915283","0.9458934307098389","0.9222797751426697","0.9561403393745422","0.6513608217239379","0.6395083069801331","0.661590576171875","0.6568493366241455","0.6136685013771057","0.6833240985870361","0.6361453533172607","0.6067601442337036","0.6639081835746765","0.7204542279243469","0.6940537095069885","0.7673163414001465"
"3","0.6800333619117737","0.6450710892677307","0.7231460809707642","0.9011640310287475","0.8897224068641663","0.9166666269302368","0.6947744488716125","0.6584942936897278","0.7162375450134277","0.6446717262268067","0.6002073884010315","0.694717288017273","0.6415017008781433","0.6222115755081177","0.6606003046035767","0.7205808639526368","0.6867815852165222","0.7618783116340637"
"4","0.6969657063484191","0.6496872305870056","0.73380446434021","0.8649054408073426","0.8284671306610107","0.880989134311676","0.703598964214325","0.6480351686477661","0.729388952255249","0.6270006656646728","0.6049854159355164","0.6422843337059021","0.6391321539878845","0.5819302797317505","0.6885915398597717","0.7275712847709656","0.6999494433403015","0.7570239901542664"
"5","0.7920890808105469","0.77888023853302","0.8089317679405212","0.9286325454711915","0.8803526163101196","0.9419589042663574","0.6425394058227539","0.6124497652053833","0.682896077632904","0.6480372190475464","0.6266915798187256","0.6747910976409912","0.6360174894332886","0.5606260895729065","0.6675375699996948","0.7427865624427795","0.7128567695617676","0.7721816897392273"
"6","0.8045983076095581","0.7739149928092957","0.8289504647254944","0.9323850512504578","0.9250353574752808","0.9471198916435242","0.7246899366378784","0.6832946538925171","0.7587859034538269","0.6242476344108582","0.5565405488014221","0.67271488904953","0.6549145460128785","0.6187384128570557","0.6786431670188904","0.7492872834205627","0.7361177206039429","0.7659574151039124"
"7","0.8104430794715881","0.7951096296310425","0.8246550559997559","0.9328224897384644","0.9097682237625122","0.9463135004043579","0.7138131499290467","0.6412999033927917","0.7495049834251404","0.6128999352455139","0.589090883731842","0.6389684677124023","0.6729126572608948","0.5871855616569519","0.7347168922424316","0.774173378944397","0.7478418946266174","0.801671028137207"
"8","0.815097713470459","0.7922566533088684","0.8250950574874878","0.9443359851837159","0.9364981055259705","0.9518828392028809","0.7407460689544678","0.7289461493492126","0.7674418687820435","0.650539243221283","0.6205719113349915","0.6716709733009338","0.653497290611267","0.6217672228813171","0.679320216178894","0.7713722348213196","0.7467097640037537","0.8111358880996704"
"9","0.818731963634491","0.809276282787323","0.8346472978591919","0.932532525062561","0.9045553207397461","0.9455782175064087","0.7246436238288879","0.680846095085144","0.7629114389419556","0.6245231986045837","0.6113082766532898","0.6370836496353149","0.630018663406372","0.6148303151130676","0.649506688117981","0.7693545699119568","0.7373345494270325","0.8005204200744629"
