"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX"
"0","","","","","","","0.4044500067830086","0.027249999344348907","0.9915000200271606","0.09200000017881393","0.09200000017881393","0.09200000017881393","0.4046499956399202","0.026249999180436134","0.9909999966621399","0.0032500000670552254","0.0032500000670552254","0.0032500000670552254"
"1","0.22249999940395354","0.1745000034570694","0.25087499618530273","","","","0.26957500278949736","0.23462499678134918","0.29725000262260437","0.13942500203847885","0.11500000208616257","0.15299999713897705","0.2387250006198883","0.2084999978542328","0.2758750021457672","0.15947499871253967","0.12612499296665192","0.18774999678134918"
"2","0.5205250024795532","0.5053750276565552","0.5338749885559082","0.07810000032186508","0.06712500005960464","0.09974999725818634","0.4675749957561493","0.4372499883174896","0.4971249997615814","0.43534999489784243","0.414124995470047","0.45274999737739563","0.46257500648498534","0.4427500069141388","0.4792500138282776","0.3939500033855438","0.36675000190734863","0.4168750047683716"
"3","0.5496249794960022","0.5329999923706055","0.5809999704360962","0.16624999940395355","0.14100000262260437","0.1876250058412552","0.4908750057220459","0.4754999876022339","0.5095000267028809","0.49649999141693113","0.47087499499320984","0.5118749737739563","0.5163250029087066","0.46912500262260437","0.5328750014305115","0.4534500002861023","0.4231249988079071","0.47850000858306885"
"4","0.5453999996185303","0.5306249856948853","0.559499979019165","0.20437500178813933","0.17125000059604645","0.24262499809265137","0.5052750110626221","0.476375013589859","0.5228750109672546","0.5394749879837036","0.5143749713897705","0.5578749775886536","0.5288749933242798","0.515874981880188","0.5511249899864197","0.4869249939918518","0.476749986410141","0.5061249732971191"
"5","0.5133000016212463","0.49262499809265137","0.5291249752044678","0.10422499924898147","0.08162499964237213","0.12962499260902405","0.5256749987602234","0.49549999833106995","0.5878750085830688","0.5344249963760376","0.5036249756813049","0.565500020980835","0.5535499930381775","0.5354999899864197","0.5741249918937683","0.5074000060558319","0.4663749933242798","0.5441250205039978"
"6","0.5447749972343445","0.5276250243186951","0.5584999918937683","0.15252500176429748","0.08837500214576721","0.20262500643730164","0.5300499856472015","0.49962499737739563","0.5554999709129333","0.5620499968528747","0.5488749742507935","0.578125","0.5503499865531921","0.5389999747276306","0.5612499713897705","0.5231500029563904","0.5084999799728394","0.5522500276565552"
"7","0.5715749979019165","0.5572500228881836","0.5929999947547913","0.16077499687671662","0.14875000715255737","0.1746249943971634","0.521100002527237","0.47737500071525574","0.6077499985694885","0.5510249972343445","0.5068749785423279","0.5848749876022339","0.562975001335144","0.5487499833106995","0.581375002861023","0.5421999931335449","0.5183749794960022","0.5684999823570251"
"8","0.5798499941825866","0.5649999976158142","0.6006249785423279","0.17935000061988832","0.14937500655651093","0.20274999737739563","0.5461750149726867","0.499875009059906","0.577875018119812","0.5723749876022339","0.547249972820282","0.5867499709129333","0.5798500061035157","0.5663750171661377","0.5953750014305115","0.5577999949455261","0.5413749814033508","0.5649999976158142"
"9","0.6083499908447265","0.5809999704360962","0.625249981880188","0.19142500162124634","0.17287500202655792","0.21712499856948853","0.549525010585785","0.4671249985694885","0.5977500081062317","0.5746999979019165","0.5283750295639038","0.6154999732971191","0.5739500045776367","0.5377500057220459","0.6072499752044678","0.5662999987602234","0.5411249995231628","0.5991250276565552"
"10","0.6262749910354615","0.5987499952316284","0.6449999809265137","0.2180750012397766","0.2018750011920929","0.2328750044107437","0.5577499806880951","0.4808749854564667","0.5981249809265137","0.5827749967575073","0.5567499995231628","0.6056249737739563","0.5755000114440918","0.5534999966621399","0.5901250243186951","0.5672250032424927","0.5460000038146973","0.6002500057220459"
