"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"0","","","","","","","","","","0.6084120750427247","0.5944610238075256","0.6275006532669067","0.7319587469100952","0.7319587469100952","0.7319587469100952"
"1","0.5023935198783874","0.4696495532989502","0.5559532046318054","","","","0.4990079402923584","0.43245968222618103","0.5382544994354248","0.4947384297847748","0.4706164598464966","0.5225151181221008","0.47620331048965453","0.3645833432674408","0.5346884727478027"
"2","0.4711496949195862","0.4300939440727234","0.5225841999053955","0.33122576773166656","0.2362002581357956","0.3880368173122406","0.5000858247280121","0.4823753535747528","0.5307023525238037","0.5289575457572937","0.5187564492225647","0.5407042503356934","0.5194916009902955","0.4880481958389282","0.5445064902305603"
"3","0.4520333528518677","0.43362683057785034","0.4859583079814911","0.38776124715805055","0.34872978925704956","0.4264523983001709","0.5217400789260864","0.5111691951751709","0.5308372378349304","0.5261610627174378","0.5195237398147583","0.5326494574546814","0.5336924970149994","0.49963441491127014","0.5617682933807373"
"4","0.42346441745758057","0.4062834680080414","0.4433201551437378","0.3835226893424988","0.34425675868988037","0.40386977791786194","0.5394488334655761","0.5295302867889404","0.5461435914039612","0.5288487553596497","0.5211315751075745","0.5395001173019409","0.5309799790382386","0.4911600351333618","0.5700182914733887"
"5","0.4159121513366699","0.3958611488342285","0.43671590089797974","0.34894903302192687","0.2589605748653412","0.4135338366031647","0.5318355917930603","0.5218212008476257","0.538547933101654","0.5360798478126526","0.5200626850128174","0.5500645041465759","0.5240866065025329","0.47897785902023315","0.5589928030967712"
"6","0.4158579111099243","0.37759894132614136","0.4392686188220978","0.37817883491516113","0.33835458755493164","0.4003397524356842","0.5378545045852661","0.5255058407783508","0.5506296753883362","0.5342835903167724","0.5270213484764099","0.5414092540740967","0.5346046209335327","0.5152684450149536","0.5491071343421936"
"7","0.40890206694602965","0.3932395279407501","0.43539202213287354","0.33286547660827637","0.30892449617385864","0.3500819206237793","0.5405929803848266","0.5305432081222534","0.5529760122299194","0.5256749629974365","0.5084275603294373","0.5425395965576172","0.5372398495674133","0.5108920931816101","0.576806902885437"
"8","0.4061286211013794","0.3970610201358795","0.4197938144207001","0.339203804731369","0.2837905287742615","0.38451987504959106","0.5353002071380615","0.5286485552787781","0.5430521965026855","0.5374112606048584","0.5303061008453369","0.5556488633155823","0.5201344013214111","0.5012320876121521","0.5475717186927795"
"9","0.4038103103637695","0.4015924036502838","0.40595269203186035","0.3536326766014099","0.32776716351509094","0.4089743494987488","0.5421684503555297","0.5361719131469727","0.5494863986968994","0.5349445343017578","0.5284510850906372","0.5405318737030029","0.5418655753135682","0.5183922648429871","0.5684999823570251"
"10","0.4109085500240326","0.3908541798591614","0.4264630973339081","0.34752597808837893","0.29414334893226624","0.38383838534355164","0.542129111289978","0.534246563911438","0.5509927272796631","0.5325276494026184","0.5196875929832458","0.5426379442214966","0.5258852481842041","0.4925141930580139","0.57503741979599"
