"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX"
"0","","","","","","","0.6044901728630065","0.5947955250740051","0.6229177117347717","0.4685920476913452","0.4685920476913452","0.4685920476913452","0.6084120750427247","0.5944610238075256","0.6275006532669067","0.7319587469100952","0.7319587469100952","0.7319587469100952"
"1","0.5120925843715668","0.48257967829704285","0.5598683953285217","","","","0.5003443896770478","0.49223363399505615","0.5090833902359009","0.5035405158996582","0.43360161781311035","0.5471556782722473","0.4947384297847748","0.4706164598464966","0.5225151181221008","0.5042298138141632","0.48925694823265076","0.5171467661857605"
"2","0.5185439109802246","0.5034608244895935","0.5533928275108337","0.33122576773166656","0.2362002581357956","0.3880368173122406","0.5292762994766236","0.5128812193870544","0.5472555756568909","0.5197086930274963","0.5092141032218933","0.5420331358909607","0.5289575457572937","0.5187564492225647","0.5407042503356934","0.5059393882751465","0.48052409291267395","0.5196813344955444"
"3","0.5194295406341553","0.5058179497718811","0.5360077619552612","0.38776124715805055","0.34872978925704956","0.4264523983001709","0.5131834268569946","0.49891096353530884","0.5196794867515564","0.5317448019981384","0.518963098526001","0.5439280867576599","0.5261610627174378","0.5195237398147583","0.5326494574546814","0.515183174610138","0.494020938873291","0.5350436568260193"
"4","0.5036186397075653","0.49366942048072815","0.5189682841300964","0.3835226893424988","0.34425675868988037","0.40386977791786194","0.5171216368675232","0.5097479820251465","0.5235492587089539","0.544793963432312","0.5388322472572327","0.5529565215110779","0.5288487553596497","0.5211315751075745","0.5395001173019409","0.5092379093170166","0.49856507778167725","0.5238150954246521"
"5","0.4844609975814819","0.4696817696094513","0.5012068748474121","0.34894903302192687","0.2589605748653412","0.4135338366031647","0.5282601594924927","0.5152256488800049","0.545610249042511","0.5332733392715454","0.522765040397644","0.5417342185974121","0.5360580205917358","0.5200626850128174","0.5499553680419922","0.5128502547740936","0.49655917286872864","0.5199955105781555"
"6","0.4871717572212219","0.456362247467041","0.5141847729682922","0.37817883491516113","0.33835458755493164","0.4003397524356842","0.5153101146221161","0.4990282356739044","0.5242988467216492","0.53904048204422","0.5255058407783508","0.5515269041061401","0.5342835903167724","0.5270213484764099","0.5414092540740967","0.5163424730300903","0.5075640082359314","0.5219067931175232"
"7","0.48052860498428346","0.46366697549819946","0.49440741539001465","0.33286547660827637","0.30892449617385864","0.3500819206237793","0.5184894323348999","0.509429395198822","0.539496123790741","0.5414150714874267","0.5328006744384766","0.5530614256858826","0.5256749629974365","0.5084275603294373","0.5425395965576172","0.511164927482605","0.5063497424125671","0.5189071297645569"
"8","0.4827098548412323","0.4746703803539276","0.4926588833332062","0.339203804731369","0.2837905287742615","0.38451987504959106","0.5158945322036743","0.5025500655174255","0.5288422107696533","0.5353871583938599","0.5288930535316467","0.5430521965026855","0.5374112606048584","0.5303061008453369","0.5556488633155823","0.5129804491996766","0.5041579008102417","0.5248491764068604"
"9","0.4843306064605713","0.4741435647010803","0.4999498128890991","0.3536326766014099","0.32776716351509094","0.4089743494987488","0.5162883996963501","0.500200629234314","0.5250241160392761","0.5422793745994567","0.5361719131469727","0.5494863986968994","0.5349445343017578","0.5284510850906372","0.5405318737030029","0.5237880349159241","0.5137585401535034","0.5356519818305969"
