"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX"
"0","","","","0.16116573214530944","0.1515151411294937","0.16801829636096954","0.08033972606062889","0","0.19635890424251556","0.2761082537472248","0.19136960804462433","0.5","0.1632974624633789","0.15604223310947418","0.17022612690925598","","",""
"1","0.9165810108184814","0.8396722674369812","0.9562332034111023","0.8950714111328125","0.8686268329620361","0.9415730237960815","0.8938787698745727","0.8385499119758606","0.931489884853363","0.9369613885879516","0.8887102603912354","0.952272355556488","0.776029396057129","0.5434253215789795","0.8584500551223755","0.7485173642635345","0.346748024225235","0.9808169603347778"
"2","0.9408012270927429","0.9041581749916077","0.9603856205940247","0.9098729610443115","0.8085710406303406","0.9648997783660889","0.8344832420349121","0.46108734607696533","0.9584026336669922","0.9618525981903077","0.9480599761009216","0.9695447087287903","0.7005185067653656","0.2484245002269745","0.902539074420929","0.9851926962534586","0.9746217727661133","0.993952214717865"
"3","0.9416228175163269","0.9304767847061157","0.9606896638870239","0.9405335307121276","0.8930278420448303","0.9659518599510193","0.875932240486145","0.5597609877586365","0.9709702134132385","0.9530919551849365","0.9365590214729309","0.9644229412078857","0.8479721903800964","0.7280807495117188","0.9063849449157715","0.9371946255366007","0.8440466523170471","0.9876183271408081"
"4","0.8161576688289642","0.4416578710079193","0.9237203001976013","0.9024735808372497","0.6764112710952759","0.9703540802001953","0.9650873661041259","0.9529522657394409","0.9764133095741272","0.9637897372245788","0.9514777064323425","0.9729463458061218","0.8645844697952271","0.7502263784408569","0.9256353974342346","0.973508874575297","0.9327272772789001","0.9944000244140625"
"5","0.9739966511726379","0.959704577922821","0.9824209809303284","0.9017992138862609","0.6890101432800293","0.9712784886360168","0.9687097549438477","0.9634941220283508","0.974869966506958","0.9683585405349732","0.9638881087303162","0.9730954170227051","0.879747211933136","0.8016307950019836","0.9065618515014648","0.9898098111152649","0.9893258810043335","0.9903527498245239"
"6","0.979069983959198","0.9703074097633362","0.9861663579940796","0.9576181411743164","0.9432186484336853","0.968870997428894","0.9756495833396912","0.9660265445709229","0.9834619164466858","0.9686542272567749","0.9558210968971252","0.9778349995613098","0.9066518545150757","0.8964055776596069","0.9171916842460632","0.9898351033528646","0.9867004752159119","0.9937180876731873"
"7","0.9794012069702148","0.9716686010360718","0.9840363264083862","0.9678492069244384","0.9605649709701538","0.9723430871963501","0.9602774977684021","0.923495888710022","0.9791245460510254","0.9646654605865479","0.9575186371803284","0.9751664996147156","0.9118322730064392","0.9028655290603638","0.9233241677284241","0.991378923257192","0.9892404079437256","0.9939036965370178"
"8","0.9800117969512939","0.974566638469696","0.9849763512611389","0.950600266456604","0.8867896795272827","0.9718899130821228","0.8769337773323059","0.6681376695632935","0.9492409825325012","0.9595496416091919","0.9384483695030212","0.9731058478355408","0.900182580947876","0.8722311854362488","0.9235725998878479","0.9913833340009054","0.9887892007827759","0.99468994140625"
"9","0.9812840938568115","0.9752630591392517","0.9837982654571533","0.966716730594635","0.9632829427719116","0.9714834690093994","0.9367290139198303","0.8823383450508118","0.9682481288909912","0.965644645690918","0.9537023901939392","0.9757785201072693","0.906346321105957","0.8941246271133423","0.9207479357719421","0.9924196600914001","0.9894607067108154","0.9939975738525391"
