"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MAX"
"0","","","","0.5399599969387054","0.13928481936454773","0.9841210246086121","0.025100024402490817","0.0005001250538043678","0.0961490347981453","0.02900725104700541","0.0002500625269021839","0.0666416585445404","0.5384095996618271","0.13590897619724274","0.9844961166381836","","",""
"1","0.7323580861091614","0.6585396528244019","0.8183295726776123","0.7263815999031067","0.6216554045677185","0.8045761585235596","0.38597150444984435","0.25568893551826477","0.5552638173103333","0.7733683586120605","0.6999250054359436","0.8363341093063354","0.8482620716094971","0.6705426573753357","0.9242310523986816","0.7450612584749857","0.5540134906768799","0.9631157517433167"
"2","0.7318579673767089","0.7133033275604248","0.759939968585968","0.7886471748352051","0.7053013443946838","0.881095290184021","0.46839210391044617","0.3159539997577667","0.7888222336769104","0.8230807662010193","0.8000749945640564","0.8615903854370117","0.8499374985694885","0.7928231954574585","0.991998016834259","0.5120863616466522","0.4754938781261444","0.5483871102333069"
"3","0.7406851768493652","0.7219305038452148","0.7694423794746399","0.7891472816467285","0.7314328551292419","0.8894723653793335","0.4189047276973724","0.2800700068473816","0.7531883120536804","0.8619404792785644","0.8498374819755554","0.8785946369171143","0.8238809704780579","0.7858214378356934","0.8795949220657349","0.6449112296104431","0.5150037407875061","0.8033258318901062"
"4","0.8107777118682862","0.7034258842468262","0.9472368359565735","0.7895974040031433","0.7380595207214355","0.8682170510292053","0.3391347736120224","0.23868466913700104","0.5315078496932983","0.8737184286117554","0.850337564945221","0.8927232027053833","0.82635657787323","0.7901975512504578","0.8889722228050232","0.5599733193715414","0.45461365580558777","0.7564390897750854"
"5","0.7992998242378235","0.7788196802139282","0.8210802674293518","0.7990747690200806","0.7618154287338257","0.820080041885376","0.32615654170513153","0.23468367755413055","0.4328582286834717","0.876894223690033","0.8692172765731812","0.8837209343910217","0.8322330594062806","0.8023256063461304","0.8893473148345947","0.5681837101777395","0.41472867131233215","0.6676669120788574"
"6","0.8444610953330993","0.8309577107429504","0.8538384437561035","0.8174543738365173","0.7751938104629517","0.8559640049934387","0.33773443698883054","0.27031758427619934","0.38572144508361816","0.8818954706192017","0.869967520236969","0.8999750018119812","0.8326831698417664","0.814578652381897","0.8557139039039612","0.6274068554242452","0.5922730565071106","0.6530382633209229"
"7","0.8713928461074829","0.8537134528160095","0.8840960264205933","0.819229805469513","0.7994498610496521","0.8497124314308167","0.3516379058361053","0.18567141890525818","0.5050012469291687","0.8947236895561218","0.8809702396392822","0.9051012992858887","0.8311828017234802","0.8169542551040649","0.8508377075195312","0.6140285134315491","0.5810202360153198","0.6662915945053101"
"8","0.883045768737793","0.8738434314727783","0.8949737548828125","0.8542385697364807","0.8362090587615967","0.8792198300361633","0.46311578154563904","0.26356589794158936","0.7083020806312561","0.8993248343467712","0.8734683394432068","0.9158539772033691","0.8437609434127807","0.834333598613739","0.8543385863304138","0.6118613084157308","0.5628907084465027","0.6592898368835449"
"9","0.8862465500831604","0.8762190341949463","0.8952237963676453","0.8638909697532654","0.8462115526199341","0.8910977840423584","0.407126784324646","0.30745187401771545","0.5026256442070007","0.9082770824432373","0.8995999097824097","0.9236059188842773","0.8492123126983643","0.8384596109390259","0.8745936751365662","0.6203634341557821","0.5243811011314392","0.7118029594421387"
