"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"0","1","1","1","0.5513394474983215","0.5102040767669678","0.5924748182296753","0.5942028760910034","0.5942028760910034","0.5942028760910034","0.6008525490760803","0.5918595194816589","0.6048709750175476","","",""
"1","0.17832096219062804","0.06486593186855316","0.36117058992385864","0.12361901924014092","0.05398948863148689","0.25641027092933655","0.5721360087394715","0.5631608366966248","0.5906808972358704","0.552360200881958","0.4996734857559204","0.6017516851425171","0.31615690762797993","0.057847630232572556","0.6018844246864319"
"2","0.13744811937212945","0.04590281471610069","0.3443301320075989","0.15823446810245514","0.044415414333343506","0.5063269138336182","0.5881913542747498","0.5694949626922607","0.6013115644454956","0.5119822144508361","0.45707517862319946","0.5842647552490234","0.029024833502868812","0.015131046064198017","0.040465351194143295"
"3","0.07366929352283477","0.03945111483335495","0.13912084698677063","0.09134094342589379","0.03604651242494583","0.24546204507350922","0.5909518718719482","0.5828079581260681","0.5987479090690613","0.5239773631095886","0.47193747758865356","0.5667667388916016","0.10081456912060578","0.018119489774107933","0.2492435723543167"
"4","0.10450181737542152","0.026981450617313385","0.23432771861553192","0.04454209990799427","0.030395137146115303","0.0705055519938469","0.5935150504112243","0.5833843946456909","0.6032794713973999","0.5091914534568787","0.45734718441963196","0.5620842576026917","0.022339186320702236","0.007880664430558681","0.045782193541526794"
"5","0.03313946910202503","0.02178284153342247","0.05378204211592674","0.048383675143122674","0.022568510845303535","0.07914825528860092","0.5922160863876342","0.5895661115646362","0.5961926579475403","0.5197818756103516","0.4974154233932495","0.5823498368263245","0.11180593197544415","0.044011685997247696","0.17233312129974365"
"6","0.023375589586794376","0.012145056389272213","0.04615384712815285","0.028825771063566208","0.019145146012306213","0.05156472325325012","0.5933297753334046","0.5864222645759583","0.6003543138504028","0.5051574766635895","0.4894692599773407","0.5262684226036072","0.1215537649889787","0.04110880568623543","0.25289639830589294"
"7","0.026872414723038675","0.02276521548628807","0.03567727655172348","0.0677226148545742","0.008710801601409912","0.21783141791820526","0.5935808181762695","0.5886906981468201","0.6000683903694153","0.502241450548172","0.4922672510147095","0.5156779289245605","0.1215093582868576","0.021966304630041122","0.3032923638820648"
"8","0.026128860749304296","0.015403573401272297","0.03784266859292984","0.12714259177446366","0.07295666635036469","0.2197398692369461","0.590049147605896","0.5806376338005066","0.5956166386604309","0.5127770125865936","0.4937537610530853","0.5301196575164795","0.11834064250191052","0.029023218899965286","0.2742463946342468"
"9","0.024590751342475414","0.015283842571079731","0.03472815081477165","0.05368573181331158","0.03108997829258442","0.08239095658063889","0.5940162658691406","0.5838873386383057","0.5999778509140015","0.5135934352874756","0.5071114301681519","0.5203647613525391","0.07730298986037572","0.01433691754937172","0.19276121258735657"
"10","0.022173669561743735","0.016918428242206573","0.03141285479068756","0.0368545014411211","0.018114011734724045","0.07063403725624084","0.5908645868301392","0.5855699777603149","0.5948544144630432","0.5067280650138855","0.4917333424091339","0.521666407585144","0.03562657597164313","0.027027027681469917","0.042658571153879166"
"11","0.0195715406909585","0.013975155539810658","0.025039369240403175","0.22088344991207123","0.023391813039779663","0.30841121077537537","0.5933896422386169","0.590503454208374","0.5963246822357178","0.501406192779541","0.4854189157485962","0.5184038281440735","0.025899477303028107","0.02340121380984783","0.02836061827838421"
"12","0.016077202372252943","0.01266018208116293","0.02002224698662758","0.24102177768945693","0.08354052901268005","0.3899935781955719","0.5904983639717102","0.585191011428833","0.5949159264564514","0.5134894907474518","0.49470487236976624","0.5470394492149353","0.035264855871597924","0.02402353286743164","0.05019567906856537"
"13","0.019874971732497214","0.01450575701892376","0.024996235966682434","0.20848263055086136","0.0743589773774147","0.5187702178955078","0.5904120564460754","0.5850586891174316","0.5966216325759888","0.5183789253234863","0.49409019947052","0.5613328218460083","0.025552698721488316","0.018813831731677055","0.03861003741621971"
"14","0.019975262880325317","0.013776212930679321","0.027453875169157982","0.1744481548666954","0.06613226234912872","0.3586437404155731","0.5945884704589843","0.5909066200256348","0.6000753045082092","0.5053936779499054","0.4744151532649994","0.5430245995521545","0.024049044276277225","0.014724595472216606","0.03866846114397049"
"15","0.018282443471252918","0.013083827681839466","0.02639033831655979","0.16835395991802216","0.08345534652471542","0.27184465527534485","0.5939470767974854","0.5900711417198181","0.5991508364677429","0.520793205499649","0.4895625412464142","0.5432236790657043","0.028113485624392826","0.012006264179944992","0.0518258661031723"
"16","0.01730834785848856","0.013499480672180653","0.023379698395729065","0.12145973909646272","0.014705882407724857","0.20883534848690033","0.593269431591034","0.5844025611877441","0.5975005626678467","0.5287027835845948","0.5013337135314941","0.5732199549674988","0.025416225815812748","0.01972157694399357","0.03144235536456108"
"17","0.019592475332319736","0.014150255359709263","0.0333823524415493","0.11242710426449776","0.06092436984181404","0.15866084396839142","0.5933682084083557","0.5885518789291382","0.5981864929199219","0.5134338736534119","0.5101996660232544","0.5179263353347778","0.018941667551795643","0.014441704377532005","0.026057468727231026"
"18","0.01860029622912407","0.01241028681397438","0.025484055280685425","0.13425558395683765","0.028340080752968788","0.19370460510253906","0.5918072581291198","0.5822679400444031","0.5987985134124756","0.5277705788612366","0.5054849982261658","0.5846163034439087","0.022862451151013374","0.018473757430911064","0.026339206844568253"
"19","0.01770874336361885","0.01117487158626318","0.02974194474518299","0.15223449170589448","0.06762295216321945","0.21243523061275482","0.590123426914215","0.5826242566108704","0.5945960283279419","0.5284280061721802","0.5232558250427246","0.533721387386322","0.023657027631998062","0.01745259203016758","0.029985006898641586"
"20","0.01696113683283329","0.011897590011358261","0.01909169740974903","0.10717203691601754","0.049140047281980515","0.1388888955116272","0.5899187088012695","0.5756535530090332","0.5973415374755859","0.5089216530323029","0.4963017702102661","0.5260108113288879","0.03214253547290961","0.02732510305941105","0.036567702889442444"
"21","0.018354100920259953","0.01311330497264862","0.02850460447371006","0.17164022624492645","0.125","0.24731183052062988","0.5920798897743225","0.5833427906036377","0.5965574979782104","0.11935341507196426","0.05900830030441284","0.19105251133441925","0.018056605011224747","0.014259658753871918","0.02088017947971821"
