"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"0","0.0081395348533988","0.0081395348533988","0.0081395348533988","0.011315741948783398","0","0.01967414654791355","","","","0.013464194489642978","0.006607929244637489","0.022621629759669304","0.01332173744837443","0","0.0317460335791111","","",""
"1","0.9021507978439331","0.8445078730583191","0.9473684430122375","0.894847297668457","0.8394584655761719","0.9338521361351013","","","","0.8767910838127136","0.7826961278915405","0.947115421295166","0.8737149715423584","0.8558225631713867","0.921875","0.8983618140220642","0.8647887110710144","0.954929530620575"
"2","0.7423282980918884","0.7204458713531494","0.764215350151062","0.7114680767059326","0.68243008852005","0.7563893795013428","1","1","1","0.7584786057472229","0.7399141788482666","0.796226441860199","0.7299903988838196","0.6995447874069214","0.7593856453895569","0.7916798710823059","0.7639821171760559","0.8215258717536926"
"3","0.5742035865783691","0.5424513220787048","0.6137214303016663","0.6010579466819763","0.5801186561584473","0.6401833295822144","0.9868829607963562","0.9737609624862671","0.993220329284668","0.5593801498413086","0.5352230072021484","0.5809994339942932","0.5579754948616028","0.5327968597412109","0.5754740834236145","0.6311773538589478","0.6007791757583618","0.6889632344245911"
"4","0.5443705320358276","0.5145794749259949","0.5651517510414124","0.5430281162261963","0.5164726376533508","0.5607531070709229","0.9566283106803894","0.9492537379264832","0.9619834423065186","0.5397815585136414","0.5270829200744629","0.5650306940078735","0.5174348056316376","0.49488821625709534","0.5409482717514038","0.6043807148933411","0.5676201581954956","0.6367501020431519"
"5","0.6522719621658325","0.6362946033477783","0.669502317905426","0.5304211914539337","0.4734862744808197","0.5739402174949646","0.954440426826477","0.9259259104728699","0.9848484396934509","0.5249718427658081","0.4915090799331665","0.5661597847938538","0.4918808460235596","0.47158998250961304","0.5164243578910828","0.5721098184585571","0.5248886346817017","0.6063532829284668"
"6","0.6790796875953674","0.6628108620643616","0.6952965259552002","0.5353309512138367","0.5151204466819763","0.5635964870452881","0.9237345576286315","0.8981481790542603","0.9587956070899963","0.5200684785842895","0.4870813190937042","0.5659675002098083","0.48060104846954343","0.4652693569660187","0.5026293396949768","0.583864974975586","0.5563880205154419","0.6082473993301392"
"7","0.6672298669815063","0.6574565768241882","0.6763238310813904","0.5366278350353241","0.48768314719200134","0.5723835229873657","0.9381805181503295","0.9161931872367859","0.9546166062355042","0.5141036033630371","0.48385483026504517","0.5394149422645569","0.4683549106121063","0.4321349859237671","0.5108563899993896","0.599056077003479","0.5378828644752502","0.6411282420158386"
"8","0.672273600101471","0.6471801996231079","0.6939784288406372","0.5378785252571106","0.5205335021018982","0.5661942958831787","0.9380723237991333","0.9193181395530701","0.9590316414833069","0.4910022735595703","0.4377147853374481","0.565674901008606","0.45141589641571045","0.42398184537887573","0.4721794128417969","0.5960464000701904","0.5477815866470337","0.6541886329650879"
"9","0.6694417238235474","0.6434426307678223","0.6899548172950745","0.5466904222965241","0.48333612084388733","0.5875066518783569","0.9283780217170715","0.9035087823867798","0.9519743919372559","0.5080202937126159","0.4839506447315216","0.5275834798812866","0.45527159571647646","0.4397566616535187","0.47877052426338196","0.583206582069397","0.5624650120735168","0.6356794238090515"
