"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX"
"0","0.05375000089406967","0.05375000089406967","0.05375000089406967","0.22558749813470058","0.0001875000016298145","0.7456874847412109","","","","0.2815156299620867","0.05674999952316284","0.7476875185966492","0.009375000217308601","0.0013749999925494194","0.022812500596046448","","",""
"1","0.03087499998509884","0.021375000476837158","0.043812498450279236","0.032487500458955765","0.0260624997317791","0.04331250116229057","","","","0.03324999995529652","0.026000000536441803","0.04206249862909317","0.02532500047236681","0.013812500052154064","0.0338125005364418","0.02201249971985817","0.021187499165534973","0.02237500064074993"
"2","0.17761249840259552","0.15856249630451202","0.21306249499320984","0.1483374983072281","0.11493749916553497","0.1810625046491623","0.0001250000059371814","0.0000625000029685907","0.0002500000118743628","0.14106249809265137","0.1274375021457672","0.15399999916553497","0.13007499873638154","0.10987500101327896","0.16474999487400055","0.10560000091791152","0.09175000339746475","0.11393749713897705"
"3","0.33396250009536743","0.3006249964237213","0.39162498712539673","0.2519999980926514","0.24543750286102295","0.25743749737739563","0.018287499994039537","0.016062499955296516","0.021437499672174454","0.27441249787807465","0.22762499749660492","0.2998749911785126","0.26208749413490295","0.24718749523162842","0.28593748807907104","0.2336374968290329","0.2016874998807907","0.2809374928474426"
"4","0.3943125009536743","0.367125004529953","0.413937509059906","0.3142124950885773","0.29493749141693115","0.3388749957084656","0.0387874998152256","0.033937498927116394","0.041875001043081284","0.32318750619888303","0.30562499165534973","0.34937500953674316","0.33615000247955323","0.3190000057220459","0.3606874942779541","0.2672249972820282","0.23762500286102295","0.32118749618530273"
"5","0.31585000157356263","0.2938750088214874","0.3292500078678131","0.3236874997615814","0.3086875081062317","0.33762499690055847","0.01638750024139881","0.010125000029802322","0.020625000819563866","0.3436500072479248","0.3238750100135803","0.35756251215934753","0.3647875010967255","0.34818750619888306","0.3816874921321869","0.3000124990940094","0.2824999988079071","0.3226875066757202"
"6","0.3284874975681305","0.30562499165534973","0.3566249907016754","0.35003750324249266","0.31587499380111694","0.36918750405311584","0.03128750026226044","0.017875000834465027","0.045375000685453415","0.3595874965190887","0.3188124895095825","0.3918749988079071","0.3784374952316284","0.3608124852180481","0.3981874883174896","0.31635000109672545","0.2955000102519989","0.3305625021457672"
"7","0.34572499990463257","0.3257499933242798","0.36756250262260437","0.3496500015258789","0.3230625092983246","0.3881874978542328","0.03868749961256981","0.025750000029802322","0.04412499815225601","0.3718249976634979","0.3528749942779541","0.38600000739097595","0.4026500046253204","0.35981249809265137","0.4259375035762787","0.327162504196167","0.2942500114440918","0.3528749942779541"
"8","0.3680375039577484","0.3539375066757202","0.40525001287460327","0.3666374921798706","0.34599998593330383","0.39406248927116394","0.04510000050067901","0.03175000101327896","0.059812501072883606","0.39263750314712526","0.34450000524520874","0.43650001287460327","0.4055124998092651","0.36506250500679016","0.45887500047683716","0.3329500019550323","0.30662500858306885","0.36625000834465027"
"9","0.37378749847412107","0.3414374887943268","0.39649999141693115","0.3509125053882599","0.3084999918937683","0.3838750123977661","0.062275000661611554","0.046562500298023224","0.07124999910593033","0.40583750009536745","0.3775624930858612","0.4411875009536743","0.439549994468689","0.4164375066757202","0.4725624918937683","0.3460750043392181","0.3072499930858612","0.39506250619888306"
