"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"0","0.6378737688064575","0.6378737688064575","0.6378737688064575","","","","0.6657000422477722","0.5690555572509766","1","0.2142857164144516","0.2142857164144516","0.2142857164144516","","",""
"1","0.20625775158405305","0.15763546526432037","0.2454054057598114","","","","0.26180862784385683","0.1695999950170517","0.38641974329948425","0.2543270766735077","0.21834060549736023","0.30388692021369934","0.22521114349365234","0.19638243317604065","0.25764191150665283"
"2","0.3880422353744507","0.35350900888442993","0.4061969518661499","0","0","0","0.3979866623878479","0.3699851334095001","0.4268142580986023","0.4097578823566437","0.40222156047821045","0.42230987548828125","0.36657180190086364","0.3367125391960144","0.41415464878082275"
"3","0.4560070216655731","0.4356505870819092","0.47319838404655457","0.05953609868884087","0.04181184619665146","0.07523510605096817","0.5091330885887146","0.4961261749267578","0.517837405204773","0.5070506274700165","0.49987533688545227","0.5128985047340393","0.48089810013771056","0.4684147834777832","0.48954787850379944"
"4","0.462048864364624","0.4465746283531189","0.48086097836494446","0.1476798638701439","0.11129296571016312","0.1903584599494934","0.5209251880645752","0.5108532309532166","0.5253333449363708","0.5297672033309937","0.5222686529159546","0.539462149143219","0.48742765188217163","0.45293208956718445","0.517549991607666"
"5","0.43014256954193114","0.42391592264175415","0.44309043884277344","0.12721768021583557","0.0625","0.1766233742237091","0.5256716132164001","0.5139750242233276","0.5353150367736816","0.5391310691833496","0.5272403359413147","0.5485658645629883","0.4825435757637024","0.45811623334884644","0.5269770622253418"
"6","0.42112040519714355","0.4120796024799347","0.42537128925323486","0.21645784974098206","0.13085399568080902","0.3125","0.5276204466819763","0.5120527744293213","0.5409955978393555","0.5386207103729248","0.5312872529029846","0.5439715385437012","0.5106976747512817","0.493083655834198","0.5221489071846008"
"7","0.42947242259979246","0.4213672876358032","0.44189172983169556","0.19969478249549866","0.1487603336572647","0.2931995391845703","0.5334976553916931","0.5268590450286865","0.5416190028190613","0.5436630010604858","0.5272234678268433","0.5579555034637451","0.475657069683075","0.4576599895954132","0.49271637201309204"
"8","0.4214232265949249","0.411025732755661","0.4372154474258423","0.19343684613704681","0.15962441265583038","0.21708184480667114","0.53443843126297","0.5129881501197815","0.5498549938201904","0.5469257950782775","0.5405851602554321","0.5521520972251892","0.4833952963352203","0.43679341673851013","0.5078588128089905"
"9","0.4222249984741211","0.40496864914894104","0.44505372643470764","0.22519251108169555","0.19284939765930176","0.27236315608024597","0.5367050290107727","0.52638179063797","0.5501816272735596","0.5520317077636718","0.5466030836105347","0.56112140417099","0.49292817115783694","0.48621711134910583","0.5056899189949036"
